      Step     Time          Energy          fmax
BFGS:    0 10:21:48      -28.754119        0.800917
BFGS:    1 10:21:52      -28.782467        0.600959
BFGS:    2 10:21:56      -28.790661        0.091427
BFGS:    3 10:21:58      -28.790928        0.068153
BFGS:    4 10:22:00      -28.791100        0.055149
BFGS:    5 10:22:02      -28.791314        0.055281
BFGS:    6 10:22:04      -28.791470        0.052074
BFGS:    7 10:22:05      -28.791692        0.067904
BFGS:    8 10:22:07      -28.792077        0.108384
BFGS:    9 10:22:09      -28.792664        0.140659
BFGS:   10 10:22:11      -28.793166        0.270161
BFGS:   11 10:22:13      -28.794667        0.180869
BFGS:   12 10:22:15      -28.795707        0.055612
BFGS:   13 10:22:16      -28.795939        0.046824
