      Step     Time          Energy          fmax
BFGS:    0 20:22:52      -28.754119        0.800917
BFGS:    1 20:22:55      -28.782467        0.600959
BFGS:    2 20:22:58      -28.790661        0.091427
BFGS:    3 20:22:59      -28.790928        0.068153
BFGS:    4 20:23:01      -28.791100        0.055149
BFGS:    5 20:23:02      -28.791314        0.055281
BFGS:    6 20:23:04      -28.791470        0.052074
BFGS:    7 20:23:06      -28.791692        0.067904
BFGS:    8 20:23:08      -28.792077        0.108384
BFGS:    9 20:23:09      -28.792664        0.140659
BFGS:   10 20:23:12      -28.793166        0.270161
BFGS:   11 20:23:14      -28.794667        0.180869
BFGS:   12 20:23:16      -28.795707        0.055612
BFGS:   13 20:23:17      -28.795939        0.046824
